Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
55146	2.56373e-08	-5.78936	209	1	HSC	up	ZDHHC4
55151	6.3319e-13	-7.67231	209	1	HSC	up	TMEM38B
55168	1.58377e-09	-6.31651	209	1	HSC	up	MRPS18A
55179	2.77322e-10	-6.63247	209	1	HSC	up	FAIM
55190	7.99676e-15	-8.37471	209	1	HSC	up	NUDT11
55197	2.10665e-09	-6.26383	209	1	HSC	up	RPRD1A
55211	1.81127e-12	-7.4985	209	1	HSC	up	DPPA4
55213	9.31823e-07	-5.0565	209	1	HSC	up	RCBTB1
55218	1.0791e-18	-9.73027	209	1	HSC	up	EXD2
55227	3.49491e-08	-5.72873	209	1	HSC	up	LRRC1
5523	2.18108e-15	-8.57795	209	1	HSC	up	PPP2R3A
55277	1.6533e-06	-4.93259	209	1	HSC	up	FGGY
55279	5.21436e-07	-5.17979	209	1	HSC	up	ZNF654
552889	5.39204e-06	-4.66969	209	1	HSC	up	ATXN7L3B
55311	3.66151e-12	-7.38088	209	1	HSC	up	ZNF444
55332	2.67048e-26	-12.2312	209	1	HSC	up	DRAM1
55344	1.08578e-07	-5.50312	209	1	HSC	up	PLCXD1
55347	4.89447e-06	-4.69163	209	1	HSC	up	ABHD10
55351	7.35855e-23	-11.1177	209	1	HSC	up	STK32B
55353	7.74835e-17	-9.09054	209	1	HSC	up	LAPTM4B
55364	7.54688e-07	-5.10152	209	1	HSC	up	IMPACT
55604	1.70196e-13	-7.8867	209	1	HSC	up	CARMIL1
55651	2.78452e-07	-5.31071	209	1	HSC	up	NHP2
55668	2.27779e-09	-6.24936	209	1	HSC	up	GPATCH2L
55686	2.38396e-07	-5.34277	209	1	HSC	up	MREG
55715	1.97281e-19	-9.98033	209	1	HSC	up	DOK4
55726	8.17814e-07	-5.0844	209	1	HSC	up	INTS13
55733	1.41515e-14	-8.28469	209	1	HSC	up	HHAT
55766	2.86057e-07	-5.30513	209	1	HSC	up	H2AFJ
5584	1.44444e-06	-4.96198	209	1	HSC	up	PRKCI
55850	2.9504e-08	-5.76192	209	1	HSC	up	USE1
55856	7.2615e-14	-8.0241	209	1	HSC	up	ACOT13
55859	3.31793e-14	-8.14942	209	1	HSC	up	BEX1
55888	4.45833e-09	-6.12402	209	1	HSC	up	ZKSCAN7
5589	3.52369e-06	-4.76552	209	1	HSC	up	PRKCSH
55930	3.19462e-21	-10.5788	209	1	HSC	up	MYO5C
55958	3.2216e-13	-7.78296	209	1	HSC	up	KLHL9
56034	5.52158e-09	-6.08375	209	1	HSC	up	PDGFC
56271	4.61768e-10	-6.54099	209	1	HSC	up	BEX4
5638	4.16102e-13	-7.74115	209	1	HSC	up	PRRG1
5645	7.03174e-28	-12.7366	209	1	HSC	up	PRSS2
5646	1.73011e-08	-5.8657	209	1	HSC	up	PRSS3
56474	3.07105e-09	-6.19379	209	1	HSC	up	CTPS2
56521	8.49939e-11	-6.84174	209	1	HSC	up	DNAJC12
56617	7.70364e-07	-5.09715	209	1	HSC	up	NA
56683	6.38994e-07	-5.13685	209	1	HSC	up	CFAP298
5687	3.81256e-08	-5.71164	209	1	HSC	up	PSMA6
56912	5.2751e-06	-4.67467	209	1	HSC	up	IFT46
56925	1.44011e-06	-4.96263	209	1	HSC	up	LXN
56938	4.19571e-07	-5.22541	209	1	HSC	up	ARNTL2
56985	3.58977e-11	-6.99189	209	1	HSC	up	ADPRM
57001	1.21584e-06	-4.99928	209	1	HSC	up	SDHAF3
57007	7.82867e-08	-5.56886	209	1	HSC	up	ACKR3
57020	3.65642e-08	-5.71986	209	1	HSC	up	VPS35L
