Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown
64061	1.40735e-22	-11.0255	209	1	TCELL	up
6448	1.4212e-22	-11.0241	209	1	TCELL	up
253980	1.53705e-22	-11.013	209	1	TCELL	up
154881	1.65105e-22	-11.0028	209	1	TCELL	up
2026	1.73535e-22	-10.9957	209	1	TCELL	up
926	1.75261e-22	-10.9943	209	1	TCELL	up
5527	1.78085e-22	-10.992	209	1	TCELL	up
253461	2.04525e-22	-10.9723	209	1	TCELL	up
4297	2.08165e-22	-10.9698	209	1	TCELL	up
8555	2.1047e-22	-10.9682	209	1	TCELL	up
9057	2.6884e-22	-10.9333	209	1	TCELL	up
440	2.90132e-22	-10.9225	209	1	TCELL	up
5504	3.07425e-22	-10.9142	209	1	TCELL	up
59307	3.38151e-22	-10.9006	209	1	TCELL	up
8681	3.45983e-22	-10.8973	209	1	TCELL	up
79441	3.53021e-22	-10.8945	209	1	TCELL	up
9648	4.1252e-22	-10.8722	209	1	TCELL	up
818	4.66292e-22	-10.8547	209	1	TCELL	up
79668	4.85175e-22	-10.849	209	1	TCELL	up
276	5.85949e-22	-10.8221	209	1	TCELL	up
55619	5.98366e-22	-10.8191	209	1	TCELL	up
23469	6.86825e-22	-10.7993	209	1	TCELL	up
1643	6.93264e-22	-10.798	209	1	TCELL	up
8449	7.76149e-22	-10.7819	209	1	TCELL	up
9882	7.93788e-22	-10.7786	209	1	TCELL	up
88523	8.14143e-22	-10.775	209	1	TCELL	up
9683	8.75808e-22	-10.7646	209	1	TCELL	up
4863	1.10767e-21	-10.7309	209	1	TCELL	up
4747	1.14248e-21	-10.7265	209	1	TCELL	up
288	1.32526e-21	-10.7052	209	1	TCELL	up
5922	1.37621e-21	-10.6998	209	1	TCELL	up
11119	1.43535e-21	-10.6938	209	1	TCELL	up
9617	1.55966e-21	-10.6818	209	1	TCELL	up
9497	1.77394e-21	-10.6634	209	1	TCELL	up
7508	2.20053e-21	-10.6324	209	1	TCELL	up
10507	2.67712e-21	-10.6042	209	1	TCELL	up
7220	3.1862e-21	-10.5792	209	1	TCELL	up
1577	3.37589e-21	-10.5709	209	1	TCELL	up
23046	3.423e-21	-10.5689	209	1	TCELL	up
221078	3.79233e-21	-10.5541	209	1	TCELL	up
7561	3.88935e-21	-10.5505	209	1	TCELL	up
11329	4.25963e-21	-10.5374	209	1	TCELL	up
26098	4.41617e-21	-10.5322	209	1	TCELL	up
9159	4.42535e-21	-10.5319	209	1	TCELL	up
29909	4.68207e-21	-10.5238	209	1	TCELL	up
9725	5.20217e-21	-10.5086	209	1	TCELL	up
23492	6.24106e-21	-10.4823	209	1	TCELL	up
6415	7.43874e-21	-10.457	209	1	TCELL	up
23174	1.00283e-20	-10.4138	209	1	TCELL	up
6890	1.18606e-20	-10.3896	209	1	TCELL	up
23215	1.20857e-20	-10.3868	209	1	TCELL	up
10947	1.34932e-20	-10.3709	209	1	TCELL	up
1123	1.40569e-20	-10.365	209	1	TCELL	up
54681	1.44175e-20	-10.3613	209	1	TCELL	up
10943	1.67231e-20	-10.3398	209	1	TCELL	up
4501	1.94604e-20	-10.3179	209	1	TCELL	up
2073	2.02082e-20	-10.3124	209	1	TCELL	up
9546	2.05493e-20	-10.31	209	1	TCELL	up
25821	2.40029e-20	-10.2874	209	1	TCELL	up
23338	2.78159e-20	-10.266	209	1	TCELL	up
5467	2.88115e-20	-10.2609	209	1	TCELL	up
9905	3.20785e-20	-10.2453	209	1	TCELL	up
55187	3.24415e-20	-10.2437	209	1	TCELL	up
440270	3.32252e-20	-10.2402	209	1	TCELL	up
23015	3.34127e-20	-10.2394	209	1	TCELL	up
6489	3.49909e-20	-10.2327	209	1	TCELL	up
6777	3.92317e-20	-10.2161	209	1	TCELL	up
7464	4.14835e-20	-10.2079	209	1	TCELL	up
57198	4.97342e-20	-10.1816	209	1	TCELL	up
10561	5.12338e-20	-10.1772	209	1	TCELL	up
5813	5.13924e-20	-10.1768	209	1	TCELL	up
28984	5.41363e-20	-10.1692	209	1	TCELL	up
59338	5.98068e-20	-10.1547	209	1	TCELL	up
91782	6.46685e-20	-10.1433	209	1	TCELL	up
51466	7.01235e-20	-10.1315	209	1	TCELL	up
55274	8.0987e-20	-10.1105	209	1	TCELL	up
7294	8.20344e-20	-10.1086	209	1	TCELL	up
26999	8.67016e-20	-10.1005	209	1	TCELL	up
51303	8.92641e-20	-10.0963	209	1	TCELL	up
11118	9.30386e-20	-10.0903	209	1	TCELL	up
5217	9.35832e-20	-10.0894	209	1	TCELL	up
3275	1.00275e-19	-10.0793	209	1	TCELL	up
687	1.22332e-19	-10.0503	209	1	TCELL	up
10123	1.2695e-19	-10.0448	209	1	TCELL	up
1901	1.65382e-19	-10.0062	209	1	TCELL	up
4204	1.68156e-19	-10.0037	209	1	TCELL	up
399	1.82548e-19	-9.9917	209	1	TCELL	up
6935	2.34292e-19	-9.95512	209	1	TCELL	up
841	2.46531e-19	-9.94766	209	1	TCELL	up
5578	2.58368e-19	-9.94078	209	1	TCELL	up
51149	4.03284e-19	-9.87538	209	1	TCELL	up
55180	4.07511e-19	-9.87384	209	1	TCELL	up
4216	4.75767e-19	-9.85106	209	1	TCELL	up
7433	4.80609e-19	-9.84957	209	1	TCELL	up
64210	4.89313e-19	-9.84693	209	1	TCELL	up
85021	4.99263e-19	-9.84396	209	1	TCELL	up
727851	5.15e-19	-9.8394	209	1	TCELL	up
3134	5.17763e-19	-9.83861	209	1	TCELL	up
8518	5.30222e-19	-9.83511	209	1	TCELL	up
29121	6.10878e-19	-9.81425	209	1	TCELL	up
79695	6.33946e-19	-9.80878	209	1	TCELL	up
2054	6.34169e-19	-9.80873	209	1	TCELL	up
57185	6.34836e-19	-9.80858	209	1	TCELL	up
5937	7.12045e-19	-9.79166	209	1	TCELL	up
6609	7.41019e-19	-9.78577	209	1	TCELL	up
80055	7.71308e-19	-9.77986	209	1	TCELL	up
5732	8.52547e-19	-9.76508	209	1	TCELL	up
9013	9.26458e-19	-9.75281	209	1	TCELL	up
9583	1.00221e-18	-9.7412	209	1	TCELL	up
55196	1.07225e-18	-9.73121	209	1	TCELL	up
8832	1.24957e-18	-9.70858	209	1	TCELL	up
10384	1.26098e-18	-9.70724	209	1	TCELL	up
55664	1.3662e-18	-9.69538	209	1	TCELL	up
253959	1.40265e-18	-9.69148	209	1	TCELL	up
3655	1.4535e-18	-9.68621	209	1	TCELL	up
5775	1.56283e-18	-9.67547	209	1	TCELL	up
7767	1.57366e-18	-9.67445	209	1	TCELL	up
51161	1.72089e-18	-9.6612	209	1	TCELL	up
79958	1.82909e-18	-9.65216	209	1	TCELL	up
3631	1.86325e-18	-9.64942	209	1	TCELL	up
1741	1.93238e-18	-9.64402	209	1	TCELL	up
4775	2.2363e-18	-9.62235	209	1	TCELL	up
1236	2.35354e-18	-9.61476	209	1	TCELL	up
4926	2.38491e-18	-9.6128	209	1	TCELL	up
225	2.5084e-18	-9.6053	209	1	TCELL	up
26751	2.58568e-18	-9.60079	209	1	TCELL	up
23263	2.8373e-18	-9.587	209	1	TCELL	up
8720	3.0868e-18	-9.57447	209	1	TCELL	up
4034	3.19713e-18	-9.56925	209	1	TCELL	up
5125	3.27548e-18	-9.56565	209	1	TCELL	up
23043	3.35568e-18	-9.56205	209	1	TCELL	up
57326	4.11816e-18	-9.53157	209	1	TCELL	up
63917	4.41064e-18	-9.52135	209	1	TCELL	up
7752	4.95058e-18	-9.50414	209	1	TCELL	up
57125	5.36034e-18	-9.49228	209	1	TCELL	up
5533	5.45045e-18	-9.48979	209	1	TCELL	up
11009	5.46215e-18	-9.48947	209	1	TCELL	up
10235	5.74527e-18	-9.48193	209	1	TCELL	up
90	5.92477e-18	-9.47734	209	1	TCELL	up
11120	6.13832e-18	-9.47206	209	1	TCELL	up
3298	6.60427e-18	-9.46113	209	1	TCELL	up
26049	6.8984e-18	-9.45463	209	1	TCELL	up
55739	6.8993e-18	-9.45461	209	1	TCELL	up
55013	7.07276e-18	-9.4509	209	1	TCELL	up
22890	7.49856e-18	-9.44216	209	1	TCELL	up
26249	7.74002e-18	-9.43742	209	1	TCELL	up
55876	8.09257e-18	-9.43076	209	1	TCELL	up
5252	8.44984e-18	-9.4243	209	1	TCELL	up
155400	8.50468e-18	-9.42334	209	1	TCELL	up
79037	1.01287e-17	-9.39718	209	1	TCELL	up
126231	1.04576e-17	-9.3924	209	1	TCELL	up
9975	1.07049e-17	-9.3889	209	1	TCELL	up
5334	1.23054e-17	-9.36802	209	1	TCELL	up
4152	1.3384e-17	-9.35542	209	1	TCELL	up
727877	1.44932e-17	-9.34347	209	1	TCELL	up
54737	1.4546e-17	-9.34293	209	1	TCELL	up
