Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
7320	2.92694e-44	-17.9655	209	1	l-ERY	up	UBE2B
1642	4.25627e-44	-17.9127	209	1	l-ERY	up	DDB1
10124	4.62194e-44	-17.9011	209	1	l-ERY	up	ARL4A
1182	9.96986e-44	-17.7927	209	1	l-ERY	up	CLCN3
373	1.29159e-43	-17.7562	209	1	l-ERY	up	TRIM23
26100	1.64234e-43	-17.7224	209	1	l-ERY	up	WIPI2
648390	4.33049e-43	-17.586	209	1	l-ERY	up	NA
2195	5.34305e-43	-17.5565	209	1	l-ERY	up	FAT1
84272	7.79602e-43	-17.5034	209	1	l-ERY	up	YIPF4
55177	8.39366e-43	-17.493	209	1	l-ERY	up	RMDN3
4128	1.39481e-42	-17.4217	209	1	l-ERY	up	MAOA
25941	6.69548e-42	-17.2019	209	1	l-ERY	up	TPGS2
8814	6.77812e-42	-17.2002	209	1	l-ERY	up	CDKL1
2935	8.84247e-42	-17.163	209	1	l-ERY	up	GSPT1
7145	9.62126e-42	-17.1512	209	1	l-ERY	up	TNS1
51706	1.01997e-41	-17.143	209	1	l-ERY	up	CYB5R1
23633	1.07656e-41	-17.1354	209	1	l-ERY	up	KPNA6
6007	1.20562e-41	-17.1196	209	1	l-ERY	up	RHD
966	1.22505e-41	-17.1174	209	1	l-ERY	up	CD59
1193	1.42728e-41	-17.096	209	1	l-ERY	up	CLIC2
1874	2.27938e-41	-17.0306	209	1	l-ERY	up	E2F4
212	2.40406e-41	-17.0231	209	1	l-ERY	up	ALAS2
598	2.45966e-41	-17.0199	209	1	l-ERY	up	BCL2L1
8444	6.27674e-41	-16.8891	209	1	l-ERY	up	DYRK3
7036	8.71941e-41	-16.8433	209	1	l-ERY	up	TFR2
8727	8.77556e-41	-16.8424	209	1	l-ERY	up	CTNNAL1
158427	1.31928e-40	-16.7855	209	1	l-ERY	up	TSTD2
64795	1.34504e-40	-16.7828	209	1	l-ERY	up	RMND5A
27013	1.77142e-40	-16.7445	209	1	l-ERY	up	CNPPD1
51024	1.9751e-40	-16.7293	209	1	l-ERY	up	FIS1
55827	2.06397e-40	-16.7232	209	1	l-ERY	up	DCAF6
8669	4.28983e-40	-16.6213	209	1	l-ERY	up	EIF3J
78992	4.82456e-40	-16.6049	209	1	l-ERY	up	YIPF2
4976	5.25303e-40	-16.5931	209	1	l-ERY	up	OPA1
196515	6.85438e-40	-16.5561	209	1	l-ERY	up	NA
2729	8.19933e-40	-16.5311	209	1	l-ERY	up	GCLC
23476	8.77414e-40	-16.5217	209	1	l-ERY	up	BRD4
2639	9.85728e-40	-16.5055	209	1	l-ERY	up	GCDH
6453	1.00792e-39	-16.5024	209	1	l-ERY	up	ITSN1
27161	1.04542e-39	-16.4974	209	1	l-ERY	up	AGO2
9091	1.45605e-39	-16.4513	209	1	l-ERY	up	PIGQ
4942	1.76905e-39	-16.4242	209	1	l-ERY	up	OAT
759	2.08243e-39	-16.4016	209	1	l-ERY	up	CA1
51218	2.76382e-39	-16.3622	209	1	l-ERY	up	GLRX5
6397	2.85727e-39	-16.3576	209	1	l-ERY	up	SEC14L1
538	3.69181e-39	-16.322	209	1	l-ERY	up	ATP7A
11152	3.89541e-39	-16.3146	209	1	l-ERY	up	WDR45
10381	6.89866e-39	-16.2353	209	1	l-ERY	up	TUBB3
23052	8.30039e-39	-16.2096	209	1	l-ERY	up	ENDOD1
81858	9.4262e-39	-16.192	209	1	l-ERY	up	SHARPIN
2822	1.14896e-38	-16.1645	209	1	l-ERY	up	GPLD1
80896	1.68067e-38	-16.1118	209	1	l-ERY	up	NPL
55610	2.14866e-38	-16.0777	209	1	l-ERY	up	VPS50
6566	3.19615e-38	-16.0227	209	1	l-ERY	up	SLC16A1
1983	3.39199e-38	-16.0144	209	1	l-ERY	up	EIF5
79838	4.08411e-38	-15.9887	209	1	l-ERY	up	TMC5
57658	4.10423e-38	-15.988	209	1	l-ERY	up	CALCOCO1
5305	5.40782e-38	-15.9498	209	1	l-ERY	up	PIP4K2A
1173	8.3305e-38	-15.89	209	1	l-ERY	up	AP2M1
3300	9.58533e-38	-15.8706	209	1	l-ERY	up	DNAJB2
26268	1.24679e-37	-15.8342	209	1	l-ERY	up	FBXO9
2931	1.75461e-37	-15.7869	209	1	l-ERY	up	GSK3A
7029	2.05169e-37	-15.7653	209	1	l-ERY	up	TFDP2
3098	2.44911e-37	-15.7408	209	1	l-ERY	up	HK1
220972	3.22033e-37	-15.703	209	1	l-ERY	up	MARCH8
51257	3.60445e-37	-15.6874	209	1	l-ERY	up	MARCH2
1175	7.08956e-37	-15.5939	209	1	l-ERY	up	AP2S1
55240	8.23352e-37	-15.5732	209	1	l-ERY	up	STEAP3
9927	1.01005e-36	-15.545	209	1	l-ERY	up	MFN2
54386	1.08255e-36	-15.5354	209	1	l-ERY	up	TERF2IP
27109	1.23277e-36	-15.5175	209	1	l-ERY	up	DMAC2L
79442	1.23469e-36	-15.5172	209	1	l-ERY	up	LRRC2
92014	2.17043e-36	-15.4393	209	1	l-ERY	up	SLC25A51
4778	2.22168e-36	-15.4361	209	1	l-ERY	up	NFE2
51271	2.44839e-36	-15.4227	209	1	l-ERY	up	UBAP1
91543	2.48388e-36	-15.4207	209	1	l-ERY	up	RSAD2
50865	2.61487e-36	-15.4136	209	1	l-ERY	up	HEBP1
10247	3.0233e-36	-15.3936	209	1	l-ERY	up	RIDA
3050	4.02961e-36	-15.3539	209	1	l-ERY	up	HBZ
51759	4.59423e-36	-15.3358	209	1	l-ERY	up	C9orf78
23367	4.74089e-36	-15.3315	209	1	l-ERY	up	LARP1
6790	5.71784e-36	-15.3056	209	1	l-ERY	up	AURKA
7095	5.92178e-36	-15.3008	209	1	l-ERY	up	SEC62
527	6.35566e-36	-15.291	209	1	l-ERY	up	ATP6V0C
79646	6.7515e-36	-15.2827	209	1	l-ERY	up	PANK3
26020	8.71133e-36	-15.2475	209	1	l-ERY	up	LRP10
2752	1.09247e-35	-15.2163	209	1	l-ERY	up	GLUL
11235	1.26279e-35	-15.1963	209	1	l-ERY	up	PDCD10
6708	1.27241e-35	-15.1953	209	1	l-ERY	up	SPTA1
114625	1.4523e-35	-15.177	209	1	l-ERY	up	ERMAP
51094	1.64587e-35	-15.1598	209	1	l-ERY	up	ADIPOR1
